cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:0.9033, Accuracy:0.8571, F1:0.8353, Precision:0.9726, Recall:0.7320                || Val - Loss:0.5327, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:74
Train - Loss:1.0371, Accuracy:0.8469, F1:0.8235, Precision:0.9589, Recall:0.7216                || Val - Loss:0.5347, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:75
Train - Loss:0.9673, Accuracy:0.8367, F1:0.8072, Precision:0.9710, Recall:0.6907                || Val - Loss:0.5377, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:76
Train - Loss:0.9734, Accuracy:0.8673, F1:0.8471, Precision:0.9863, Recall:0.7423                || Val - Loss:0.5431, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:77
Train - Loss:0.9107, Accuracy:0.8724, F1:0.8538, Precision:0.9865, Recall:0.7526                || Val - Loss:0.5349, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:78
Train - Loss:1.1431, Accuracy:0.8265, F1:0.7976, Precision:0.9437, Recall:0.6907                || Val - Loss:0.5234, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:79
Train - Loss:0.9262, Accuracy:0.8418, F1:0.8121, Precision:0.9853, Recall:0.6907                || Val - Loss:0.5224, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:80
Train - Loss:1.1021, Accuracy:0.8571, F1:0.8333, Precision:0.9859, Recall:0.7216                || Val - Loss:0.5287, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:81
Train - Loss:0.9416, Accuracy:0.8673, F1:0.8506, Precision:0.9610, Recall:0.7629                || Val - Loss:0.5275, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:82
Train - Loss:1.0532, Accuracy:0.8367, F1:0.8095, Precision:0.9577, Recall:0.7010                || Val - Loss:0.5286, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:83
Train - Loss:1.1394, Accuracy:0.8163, F1:0.7805, Precision:0.9552, Recall:0.6598                || Val - Loss:0.5354, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:84
Train - Loss:0.9823, Accuracy:0.8367, F1:0.8072, Precision:0.9710, Recall:0.6907                || Val - Loss:0.5372, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:85
Train - Loss:1.1940, Accuracy:0.8112, F1:0.7836, Precision:0.9054, Recall:0.6907                || Val - Loss:0.5185, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:86
Train - Loss:0.8576, Accuracy:0.8418, F1:0.8121, Precision:0.9853, Recall:0.6907                || Val - Loss:0.5184, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:87
